Fungicide,IsolateID,AFLP,NA,AFLP2,NA,Cen,Cen2,LocCen,LocCen2
Azoxystrobin,152,NA,NA,NA,NA,NA,NA,NA,NA
Boscalid,152,NA,NA,NA,NA,NA,NA,NA,NA
Iprodione,152,NA,NA,NA,NA,NA,NA,NA,NA
Pyraclostrobin,152,NA,NA,NA,NA,NA,NA,NA,NA
ThiophanateMethyl,152,172,NA,172,NA,21,13,184,173
Azoxystrobin,462,NA,NA,NA,NA,NA,NA,NA,NA
Boscalid,462,NA,NA,NA,NA,NA,NA,NA,NA
Iprodione,462,NA,NA,NA,NA,NA,NA,NA,NA
Pyraclostrobin,462,NA,NA,NA,NA,NA,NA,NA,NA
ThiophanateMethyl,462,188,NA,NA,NA,2,NA,157,NA
Azoxystrobin,467,NA,NA,NA,NA,NA,NA,NA,NA
Boscalid,467,NA,NA,NA,NA,NA,NA,NA,NA
Iprodione,467,139,NA,NA,NA,1,NA,156,NA
Pyraclostrobin,467,NA,NA,NA,NA,NA,NA,NA,NA
ThiophanateMethyl,467,NA,NA,136,NA,NA,15,NA,147
Azoxystrobin,555,NA,NA,NA,NA,NA,NA,NA,NA
Boscalid,555,127,NA,NA,NA,2,NA,159,NA
Iprodione,555,NA,NA,NA,NA,NA,NA,NA,NA
Pyraclostrobin,555,NA,NA,NA,NA,NA,NA,NA,NA
ThiophanateMethyl,555,194,NA,160,NA,42,11,220,182
Azoxystrobin,587,NA,NA,NA,NA,NA,NA,NA,NA
Boscalid,587,NA,NA,NA,NA,NA,NA,NA,NA
Iprodione,587,NA,NA,NA,NA,NA,NA,NA,NA
Pyraclostrobin,587,NA,NA,NA,NA,NA,NA,NA,NA
ThiophanateMethyl,587,NA,NA,NA,NA,NA,NA,NA,NA
Azoxystrobin,588,NA,NA,NA,NA,NA,NA,NA,NA
Boscalid,588,NA,NA,NA,NA,NA,NA,NA,NA
Iprodione,588,NA,NA,NA,NA,NA,NA,NA,NA
Pyraclostrobin,588,154,NA,NA,NA,8,NA,149,NA
ThiophanateMethyl,588,183,NA,NA,NA,23,NA,183,NA
Azoxystrobin,594,NA,NA,NA,NA,NA,NA,NA,NA
Boscalid,594,NA,NA,NA,NA,NA,NA,NA,NA
Iprodione,594,169,NA,NA,NA,6,NA,71,NA
Pyraclostrobin,594,103,NA,NA,NA,7,NA,88,NA
ThiophanateMethyl,594,NA,NA,NA,NA,NA,NA,NA,NA
Azoxystrobin,646,229,NA,NA,NA,6,NA,211,NA
Boscalid,646,206,NA,NA,NA,4,NA,191,NA
Iprodione,646,NA,NA,NA,NA,NA,NA,NA,NA
Pyraclostrobin,646,NA,NA,NA,NA,NA,NA,NA,NA
ThiophanateMethyl,646,288,NA,236,NA,21,6,252,210
Azoxystrobin,655,NA,NA,NA,NA,NA,NA,NA,NA
Boscalid,655,NA,NA,NA,NA,NA,NA,NA,NA
Iprodione,655,NA,NA,NA,NA,NA,NA,NA,NA
Pyraclostrobin,655,NA,NA,NA,NA,NA,NA,NA,NA
ThiophanateMethyl,655,NA,NA,102,NA,NA,2,NA,106
