TRT,ID,EXP,EC50,AFLP,SSR,Alleles,Cen,CenLoc
ThiophanateMethyl,152,1,1.989217166,172,0,282,21,184
ThiophanateMethyl,152,2,1.249094387,172,0,191,13,173
ThiophanateMethyl,462,1,0.190036683,188,6,162,2,157
Iprodione,467,1,-0.029731361,139,0,158,1,156
ThiophanateMethyl,467,2,1.037923471,136,0,245,15,147
Boscalid,555,1,1.756147541,127,0,171,2,159
ThiophanateMethyl,555,1,-0.447357701,194,0,310,42,220
ThiophanateMethyl,555,2,0.237546304,160,0,218,11,182
Pyraclostrobin,588,1,-0.03219697,154,10,243,8,149
ThiophanateMethyl,588,1,-0.204745004,183,0,260,23,183
Iprodione,594,1,0.006303237,169,25,258,6,71
Pyraclostrobin,594,1,0.127862595,103,0,237,7,88
Azoxystrobin,646,1,0.708791209,229,8,211,6,211
Boscalid,646,1,1.535858179,206,4,192,4,191
ThiophanateMethyl,646,1,1.261994779,288,0,278,21,252
ThiophanateMethyl,646,2,3.187260536,236,0,222,6,210
ThiophanateMethyl,655,2,2.950611294,102,10,154,2,106
Azoxystrobin,594,1,-0.056213018,NA,0,NA,NA,NA
Boscalid,587,1,NA,NA,1,NA,NA,NA
Boscalid,588,1,1.154478976,NA,1,NA,NA,NA
ThiophanateMethyl,467,1,-0.474892786,NA,0,NA,NA,NA
ThiophanateMethyl,594,1,0.811465813,NA,3,NA,NA,NA
ThiophanateMethyl,655,1,NA,NA,0,NA,NA,NA
Azoxystrobin,594,2,-0.03220339,NA,27,NA,NA,NA
Azoxystrobin,646,2,-0.827326069,NA,0,NA,NA,NA
Boscalid,555,2,0.408823529,NA,0,NA,NA,NA
Boscalid,587,2,NA,NA,0,NA,NA,NA
Boscalid,588,2,0.111363636,NA,0,NA,NA,NA
Boscalid,646,2,-0.052038022,NA,0,NA,NA,NA
Iprodione,467,2,-0.377513031,NA,0,NA,NA,NA
Iprodione,594,2,-0.010564359,NA,27,NA,NA,NA
Pyraclostrobin,588,2,-0.741935484,NA,0,NA,NA,NA
Pyraclostrobin,594,2,-0.511363636,NA,0,NA,NA,NA
ThiophanateMethyl,462,2,NA,NA,0,NA,NA,NA
ThiophanateMethyl,588,2,NA,NA,0,NA,NA,NA
ThiophanateMethyl,594,2,0.101245243,NA,0,NA,NA,NA
