Fungicide,IsolateID,Fold_Exp1,sig,Fold_Exp2,sig
Boscalid,152,2.363235294,i,-0.002719855,n
Boscalid,462,2.057106599,i,NA,NA
Boscalid,467,2.817527011,i,-0.2864776,d
Boscalid,555,1.756147541,i,0.408823529,n
Boscalid,587,NA,NA,NA,NA
Boscalid,588,1.154478976,i,0.111363636,n
Boscalid,594,2.197740113,i,1.045829514,i
Boscalid,646,1.535858179,i,-0.052038022,n
Boscalid,655,0.423636364,n,-0.176245211,n
Iprodione,152,-0.165117892,d,-0.244381133,d
Iprodione,462,-0.028344976,n,NA,NA
Iprodione,467,-0.029731361,n,-0.377513031,d
Iprodione,555,-0.053746398,n,-0.35235378,d
Iprodione,587,-0.200533867,n,NA,NA
Iprodione,588,-0.091633466,n,0.082480091,n
Iprodione,594,0.006303237,n,-0.010564359,n
Iprodione,646,-0.046073298,n,0.070775552,n
Iprodione,655,-0.218912166,d,0.356081081,n
Azoxystrobin,152,0.228846154,n,-0.584862385,d
Azoxystrobin,462,1.279049296,i,NA,NA
Azoxystrobin,467,1.926900585,i,-0.737888199,d
Azoxystrobin,555,-0.375,d,-0.715396579,d
Azoxystrobin,587,NA,NA,NA,NA
Azoxystrobin,588,-0.12044374,n,-0.589771491,d
Azoxystrobin,594,-0.056213018,n,-0.03220339,n
Azoxystrobin,646,0.708791209,i,-0.827326069,d
Azoxystrobin,655,0.924154026,i,-0.519507187,d
Pyraclostrobin,152,-0.730920535,d,-0.624242424,d
Pyraclostrobin,462,-0.00204499,n,NA,NA
Pyraclostrobin,467,0.122699387,n,-0.792828685,d
Pyraclostrobin,555,-0.034843206,n,0.488789238,n
Pyraclostrobin,587,NA,NA,NA,NA
Pyraclostrobin,588,-0.03219697,n,-0.741935484,d
Pyraclostrobin,594,0.127862595,n,-0.511363636,d
Pyraclostrobin,646,0.276190476,n,-0.881761006,d
Pyraclostrobin,655,0.113074205,n,-0.808315715,d
ThiophanateMethyl,152,1.989217166,i,1.249094387,i
ThiophanateMethyl,462,0.190036683,n,NA,NA
ThiophanateMethyl,467,-0.474892786,d,1.037923471,d
ThiophanateMethyl,555,-0.447357701,n,0.237546304,n
ThiophanateMethyl,587,NA,NA,NA,NA
ThiophanateMethyl,588,-0.204745004,n,NA,NA
ThiophanateMethyl,594,0.811465813,i,0.101245243,n
ThiophanateMethyl,646,1.261994779,i,3.187260536,n
ThiophanateMethyl,655,NA,NA,2.950611294,n
