Fungicide,IsolateID,SSR,NA,SSR2,NA
Boscalid,152,0,NA,0,NA
Boscalid,462,0,NA,0,NA
Boscalid,467,0,NA,0,NA
Boscalid,555,0,NA,0,NA
Boscalid,587,-1,NA,0,NA
Boscalid,588,-1,NA,0,NA
Boscalid,594,0,NA,0,NA
Boscalid,646,4,NA,0,NA
Boscalid,655,0,NA,0,NA
Iprodione,152,0,NA,0,NA
Iprodione,462,0,NA,0,NA
Iprodione,467,0,NA,0,NA
Iprodione,555,0,NA,0,NA
Iprodione,587,0,NA,0,NA
Iprodione,588,0,NA,0,NA
Iprodione,594,-17,NA,-27,NA
Iprodione,646,0,NA,0,NA
Iprodione,655,0,NA,0,NA
Azoxystrobin,152,0,NA,0,NA
Azoxystrobin,462,0,NA,0,NA
Azoxystrobin,467,0,NA,0,NA
Azoxystrobin,555,0,NA,0,NA
Azoxystrobin,587,0,NA,0,NA
Azoxystrobin,588,0,NA,0,NA
Azoxystrobin,594,0,NA,-27,NA
Azoxystrobin,646,0,NA,0,NA
Azoxystrobin,655,0,NA,0,NA
Pyraclostrobin,152,0,NA,0,NA
Pyraclostrobin,462,0,NA,0,NA
Pyraclostrobin,467,0,NA,0,NA
Pyraclostrobin,555,0,NA,0,NA
Pyraclostrobin,587,0,NA,0,NA
Pyraclostrobin,588,10,NA,0,NA
Pyraclostrobin,594,0,NA,0,NA
Pyraclostrobin,646,0,NA,0,NA
Pyraclostrobin,655,0,NA,0,NA
ThiophanateMethyl,152,0,NA,0,NA
ThiophanateMethyl,462,6,NA,0,NA
ThiophanateMethyl,467,0,NA,0,NA
ThiophanateMethyl,555,0,NA,0,NA
ThiophanateMethyl,587,0,NA,0,NA
ThiophanateMethyl,588,0,NA,0,NA
ThiophanateMethyl,594,-3,NA,0,NA
ThiophanateMethyl,646,0,NA,0,NA
ThiophanateMethyl,655,0,NA,10,NA
